1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
6389 ; dhr. ; A.B. ;  ; Bazegra ; ouder ; Torenmolenerf ; 5 ; Gouda ; 2807 DK ; 06-40819321 ; 0182-819321 ; Bazegra@zoggi.nl
6396 ; mw. ; B.B. ; de ; Boersema ; ouder ; Nijverheidsstraat ; 15 ; Gouda ; 2802 AG ; 06-40908816 ; 0182-908816 ; Boersema@freeweb.com
6403 ; dhr. ; C.B. ; Voogdholst ; voogd ; ouder ; Goudse Poort ; 25 ; Gouda ; 2803 PJ ; 06-40998409 ; 0182-998409 ; Bruinenga@gmailer.com
6410 ; mw. ; D.D. ; van de ; Draaisma ; ouder ; IJssellaan ; 2 ; Gouda ; 2806 TG ; 06-41088100 ; 0182-88100 ; Draaisma@hotmailing.com
6417 ; dhr. ; E.F. ;  ; Flokstra ; ouder ; Achter de Kerk ; 12 ; Stolwijk ; 2821 AP ; 06-41177889 ; 0182-177889 ; Flokstra@planeet.nl
6424 ; mw. ; F.H. ;  ; Haaitsma ; ouder ; Lange Tiendeweg ; 22 ; Gouda ; 2801 KH ; 06-41267776 ; 0182-267776 ; Haaitsma@hetweb.nl
6431 ; dhr. ; G.H. ;  ; Heloma ; ouder ; Noothoven van Goorstraat ; 32 ; Gouda ; 2806 RE ; 06-41357761 ; 0182-357761 ; Heloma@xs4you.nl
6438 ; mw. ; H.H. ;  ; Horkstra ; ouder ; Estafetteweg ; 9 ; Gouda ; 2807 BL ; 06-41447844 ; 0182-447844 ; Horkstra@zoggi.nl
6445 ; dhr. ; I.J. ;  ; Jensma ; ouder ; Ravelplein ; 19 ; Gouda ; 2807 HJ ; 06-41538025 ; 0182-538025 ; Jensma@freeweb.com
6452 ; mw. ; J.K. ;  ; Klimstra ; ouder ; Rolandstraat ; 29 ; Gouda ; 2805 VX ; 06-41628304 ; 0182-628304 ; Klimstra@gmailer.com
6459 ; dhr. ; K.L. ;  ; Leijsma ; ouder ; Constantijn Huygensstraat ; 6 ; Gouda ; 2802 LZ ; 06-41718681 ; 0182-718681 ; Leijsma@hotmailing.com
6466 ; mw. ; L.M. ;  ; Mindertsma ; ouder ; Tjotterwerf ; 16 ; Gouda ; 2804 LL ; 06-41809156 ; 0182-809156 ; Mindertsma@planeet.nl
6473 ; dhr. ; M.P. ;  ; Peringa ; ouder ; Dreef ; 26 ; Gouda ; 2803 HC ; 06-41899729 ; 0182-899729 ; Peringa@hetweb.nl
6480 ; mw. ; N.R. ;  ; Renkema ; ouder ; Cornelis Ketelstraat ; 3 ; Gouda ; 2806 SL ; 06-41990400 ; 0182-990400 ; Renkema@xs4you.nl
6487 ; dhr. ; O.R. ;  ; Ruringa ; ouder ; Van Beresteijnstraat ; 13 ; Reeuwijk ; 2811 XJ ; 06-42081169 ; 0182-81169 ; Ruringa@zoggi.nl
6494 ; mw. ; P.S. ;  ; Sielstra ; ouder ; Rendiermos ; 23 ; Reeuwijk ; 2811 GV ; 06-42172036 ; 0182-172036 ; Sielstra@freeweb.com
6501 ; dhr. ; Q.S. ;  ; Spijkstra ; ouder ; Nieburg ; 33 ; Gouda ; 2804 WK ; 06-42263001 ; 0182-263001 ; Spijkstra@gmailer.com
6508 ; mw. ; R.T. ; van ; Tamminga ; ouder ; Diepenbrockhof ; 10 ; Gouda ; 2807 SB ; 06-42354064 ; 0182-354064 ; Tamminga@hotmailing.com
6515 ; dhr. ; S.T. ;  ; Tuinrnga ; ouder ; Onder de Boompjes ; 20 ; Gouda ; 2802 AW ; 06-42445225 ; 0182-445225 ; Tuinrnga@planeet.nl
6522 ; mw. ; T.W. ;  ; Wagena ; ouder ; Mercatorsingel ; 30 ; Gouda ; 2803 EP ; 06-42536484 ; 0182-536484 ; Wagena@hetweb.nl
6529 ; dhr. ; U.W. ;  ; Wijnia ; ouder ; Walmolenerf ; 7 ; Gouda ; 2807 DE ; 06-42627841 ; 0182-627841 ; Wijnia@xs4you.nl
6536 ; mw. ; V.Z. ; de ; Zwaginga ; ouder ; Fugalaan ; 17 ; Gouda ; 2807 PJ ; 06-42719296 ; 0182-719296 ; Zwaginga@zoggi.nl
6543 ; dhr. ; W.B. ;  ; Baayma ; ouder ; Anna Hoeve ; 27 ; Gouda ; 2804 HB ; 06-42810849 ; 0182-810849 ; Baayma@freeweb.com
6550 ; mw. ; X.B. ;  ; Bilstra ; ouder ; Gaspeldoornlaan ; 4 ; Gouda ; 2803 VM ; 06-42902500 ; 0182-902500 ; Bilstra@gmailer.com
6557 ; dhr. ; Y.B. ;  ; Bouwsma ; ouder ; Piet Moeskopsstraat ; 14 ; Gouda ; 2807 AM ; 06-42994249 ; 0182-994249 ; Bouwsma@hotmailing.com
6564 ; mw. ; Z.D. ;  ; Delfsma ; ouder ; Helmersstraat ; 24 ; Gouda ; 2802 ND ; 06-43086096 ; 0182-86096 ; Delfsma@planeet.nl
6571 ; dhr. ; A.E. ;  ; Eppenga ; ouder ; Spieringstraat ; 1 ; Gouda ; 2801 ZJ ; 06-43178041 ; 0182-178041 ; Eppenga@hetweb.nl
6578 ; mw. ; B.G. ;  ; Goelema ; ouder ; Gravestein ; 11 ; Gouda ; 2804 GW ; 06-43270084 ; 0182-270084 ; Goelema@xs4you.nl
6585 ; dhr. ; C.H. ;  ; Havenga ; ouder ; Halewijnplein ; 21 ; Gouda ; 2805 VP ; 06-43362225 ; 0182-362225 ; Havenga@zoggi.nl
6592 ; mw. ; D.H. ;  ; Hoitinga ; ouder ; Dunantlaan ; 31 ; Reeuwijk ; 2811 CA ; 06-43454464 ; 0182-454464 ; Hoitinga@freeweb.com
6599 ; dhr. ; E.I. ;  ; Imminga ; ouder ; Tentweg ; 8 ; Stolwijk ; 2821 AA ; 06-43546801 ; 0182-546801 ; Imminga@gmailer.com
6606 ; mw. ; F.K. ;  ; Keekstra ; ouder ; Eline Verestraat ; 18 ; Gouda ; 2801 SW ; 06-43639236 ; 0182-639236 ; Keekstra@hotmailing.com
6613 ; dhr. ; G.K. ;  ; Kubbinga ; ouder ; Nieuwdorperweg ; 28 ; Reeuwijk ; 2811 LB ; 06-43731769 ; 0182-731769 ; Kubbinga@planeet.nl
6620 ; mw. ; H.M. ;  ; Meedema ; ouder ; Peperstraat ; 5 ; Gouda ; 2801 RD ; 06-43824400 ; 0182-824400 ; Meedema@hetweb.nl
6627 ; dhr. ; I.O. ;  ; Ottema ; ouder ; Constantijn Huygensstraat ; 15 ; Gouda ; 2802 LV ; 06-43917129 ; 0182-917129 ; Ottema@xs4you.nl
6634 ; mw. ; J.P. ; Voogdt ; voogd ; ouder ; Statensingel ; 25 ; Gouda ; 2805 BJ ; 06-44009956 ; 0182-9956 ; Pruiksma@zoggi.nl
6641 ; dhr. ; K.R. ;  ; Roefstra ; ouder ; Ridder van Catsweg ; 2 ; Gouda ; 2804 RJ ; 06-44102881 ; 0182-102881 ; Roefstra@freeweb.com
6648 ; mw. ; L.S. ; van ; Schrikkema ; ouder ; Kleiweg ; 12 ; Gouda ; 2801 GB ; 06-44195904 ; 0182-195904 ; Schrikkema@gmailer.com
6655 ; dhr. ; M.S. ;  ; Sjollema ; ouder ; Motetplein ; 22 ; Gouda ; 2807 PC ; 06-44289025 ; 0182-289025 ; Sjollema@hotmailing.com
6662 ; mw. ; N.S. ;  ; Strooisma ; ouder ; Willem de Zwijgersingel ; 32 ; Gouda ; 2805 BS ; 06-44382244 ; 0182-382244 ; Strooisma@planeet.nl
6669 ; dhr. ; O.T. ;  ; Tirnsa ; ouder ; Claespolderstraat ; 9 ; Gouda ; 2807 LD ; 06-44475561 ; 0182-475561 ; Tirnsa@hetweb.nl
6676 ; mw. ; P.V. ; de ; Vijsma ; ouder ; Waterklaver ; 19 ; Gouda ; 2804 PM ; 06-44568976 ; 0182-568976 ; Vijsma@xs4you.nl
6683 ; dhr. ; Q.W. ;  ; Wielstra ; ouder ; Dreef ; 29 ; Gouda ; 2803 HA ; 06-44662489 ; 0182-662489 ; Wielstra@zoggi.nl
6690 ; mw. ; R.Z. ;  ; Zanstra ; ouder ; Westerkade ; 6 ; Gouda ; 2802 SG ; 06-44756100 ; 0182-756100 ; Zanstra@freeweb.com
6697 ; dhr. ; S.A. ;  ; Anema ; ouder ; Zoutmansweg ; 16 ; Reeuwijk ; 2811 EV ; 06-44849809 ; 0182-849809 ; Anema@gmailer.com
6704 ; mw. ; T.B. ;  ; Bellinga ; ouder ; Platteweg ; 26 ; Reeuwijk ; 2811 HL ; 06-44943616 ; 0182-943616 ; Bellinga@hotmailing.com
6711 ; dhr. ; U.B. ;  ; Boomstra ; ouder ; Douwes Dekkerstraat ; 3 ; Reeuwijk ; 2811 XL ; 06-45037521 ; 0182-37521 ; Boomstra@planeet.nl
6718 ; mw. ; V.B. ;  ; Burgsma ; ouder ; Scharroosingel ; 13 ; Gouda ; 2807 CX ; 06-45131524 ; 0182-131524 ; Burgsma@hetweb.nl
6725 ; dhr. ; W.E. ;  ; Eelssema ; ouder ; Noordveenpolderstraat ; 23 ; Gouda ; 2807 ND ; 06-45225625 ; 0182-225625 ; Eelssema@xs4you.nl
6732 ; mw. ; X.F. ;  ; Froma ; ouder ; Tristanstraat ; 33 ; Gouda ; 2805 VA ; 06-45319824 ; 0182-319824 ; Froma@zoggi.nl
6739 ; dhr. ; Y.H. ;  ; Halbesma ; ouder ; Jan van Beaumontstraat ; 10 ; Gouda ; 2805 RN ; 06-45414121 ; 0182-414121 ; Halbesma@freeweb.com
6746 ; mw. ; Z.H. ;  ; Hidma ; ouder ; Bloeme ; 20 ; Reeuwijk ; 2811 AN ; 06-45508516 ; 0182-508516 ; Hidma@gmailer.com
6753 ; dhr. ; A.H. ;  ; Hulzinga ; ouder ; Gravestein ; 30 ; Gouda ; 2804 GR ; 06-45603009 ; 0182-603009 ; Hulzinga@hotmailing.com
6760 ; mw. ; B.J. ;  ; Jubbema ; ouder ; Beukmolenplantsoen ; 7 ; Gouda ; 2807 EL ; 06-45697600 ; 0182-697600 ; Jubbema@planeet.nl
6767 ; dhr. ; C.K. ;  ; Kooijstra ; ouder ; Volmolenhof ; 17 ; Gouda ; 2807 ES ; 06-45792289 ; 0182-792289 ; Kooijstra@hetweb.nl
6774 ; mw. ; D.L. ;  ; Lijklama ; ouder ; Schilkerpolderstraat ; 27 ; Gouda ; 2807 MR ; 06-45887076 ; 0182-887076 ; Lijklama@xs4you.nl
6781 ; dhr. ; E.N. ;  ; Niewsma ; ouder ; Pasteurstraat ; 4 ; Reeuwijk ; 2811 DX ; 06-45981961 ; 0182-981961 ; Niewsma@zoggi.nl
6788 ; mw. ; F.P. ; van ; Polsma ; ouder ; Woudestein ; 14 ; Gouda ; 2804 GM ; 06-46076944 ; 0182-76944 ; Polsma@freeweb.com
6795 ; dhr. ; G.R. ;  ; Riepstra ; ouder ; Hugo de Vrieslaan ; 24 ; Gouda ; 2803 JK ; 06-46172025 ; 0182-172025 ; Riepstra@gmailer.com
6802 ; mw. ; H.S. ;  ; Scheemda ; ouder ; Houtmansgracht ; 1 ; Gouda ; 2801 XC ; 06-46267204 ; 0182-267204 ; Scheemda@hotmailing.com
6809 ; dhr. ; I.S. ;  ; Sijmensma ; ouder ; Burgemeester Martenssingel ; 11 ; Gouda ; 2806 CP ; 06-46362481 ; 0182-362481 ; Sijmensma@planeet.nl
6816 ; mw. ; J.S. ; de ; Steigenga ; ouder ; Landluststraat ; 21 ; Gouda ; 2804 KS ; 06-46457856 ; 0182-457856 ; Steigenga@hetweb.nl
6823 ; dhr. ; K.T. ;  ; Thedinga ; ouder ; Karnemelksloot ; 31 ; Gouda ; 2806 BJ ; 06-46553329 ; 0182-553329 ; Thedinga@xs4you.nl
6830 ; mw. ; L.U. ;  ; Uwema ; ouder ; Aakwerf ; 8 ; Gouda ; 2804 MX ; 06-46648900 ; 0182-648900 ; Uwema@zoggi.nl
6837 ; dhr. ; M.W. ;  ; Weersinga ; ouder ; Dorpsweg ; 18 ; Reeuwijk ; 2811 KJ ; 06-46744569 ; 0182-744569 ; Weersinga@freeweb.com
6844 ; mw. ; N.W. ;  ; Woldinga ; ouder ; Krugerlaan ; 28 ; Gouda ; 2806 EK ; 06-46840336 ; 0182-840336 ; Woldinga@gmailer.com
6851 ; dhr. ; O.A. ;  ; Akkerma ; ouder ; Ten Boomstraat ; 5 ; Gouda ; 2807 RN ; 06-46936201 ; 0182-936201 ; Akkerma@hotmailing.com
6858 ; mw. ; P.B. ;  ; Barma ; ouder ; Raam ; 15 ; Gouda ; 2801 VP ; 06-47032164 ; 0182-32164 ; Barma@planeet.nl
6865 ; dhr. ; Q.B. ; Voogderdijk ; voogd ; ouder ; Prins Hendrikstraat ; 25 ; Gouda ; 2802 JK ; 06-47128225 ; 0182-128225 ; Bodema@hetweb.nl
6872 ; mw. ; R.B. ;  ; Brokstra ; ouder ; Watermunt ; 2 ; Reeuwijk ; 2811 SM ; 06-47224384 ; 0182-224384 ; Brokstra@xs4you.nl
6879 ; dhr. ; S.D. ;  ; Doringa ; ouder ; Zoutmanstraat ; 12 ; Gouda ; 2806 XA ; 06-47320641 ; 0182-320641 ; Doringa@zoggi.nl
6886 ; mw. ; T.F. ;  ; Ferweda ; ouder ; Geertruida Hoeve ; 22 ; Gouda ; 2804 HS ; 06-47416996 ; 0182-416996 ; Ferweda@freeweb.com
6893 ; dhr. ; U.G. ;  ; Grunstra ; ouder ; Klein Amerika ; 32 ; Gouda ; 2806 CA ; 06-47513449 ; 0182-513449 ; Grunstra@gmailer.com
6900 ; mw. ; V.H. ;  ; Heistra ; ouder ; Edisonstraat ; 9 ; Gouda ; 2809 PC ; 06-47610000 ; 0182-610000 ; Heistra@hotmailing.com
6907 ; dhr. ; W.H. ;  ; Hoolsema ; ouder ; Heemraadslag ; 19 ; Gouda ; 2805 DP ; 06-47706649 ; 0182-706649 ; Hoolsema@planeet.nl
6914 ; mw. ; X.J. ;  ; Jelkema ; ouder ; Hulkestein ; 29 ; Gouda ; 2804 ER ; 06-47803396 ; 0182-803396 ; Jelkema@hetweb.nl
6921 ; dhr. ; Y.K. ;  ; Kleefsma ; ouder ; Middenmolenlaan ; 6 ; Gouda ; 2807 EV ; 06-47900241 ; 0182-900241 ; Kleefsma@xs4you.nl
6928 ; mw. ; Z.L. ; van ; Leegstra ; ouder ; Heemskerkstraat ; 16 ; Gouda ; 2805 ST ; 06-47997184 ; 0182-997184 ; Leegstra@zoggi.nl
6935 ; dhr. ; A.M. ;  ; Menninga ; ouder ; Hugo de Grootstraat ; 26 ; Reeuwijk ; 2811 KW ; 06-48094225 ; 0182-94225 ; Menninga@freeweb.com
6942 ; mw. ; B.P. ;  ; Peetsma ; ouder ; Bitterzoet ; 3 ; Reeuwijk ; 2811 RS ; 06-48191364 ; 0182-191364 ; Peetsma@gmailer.com
6949 ; dhr. ; C.R. ;  ; Reitema ; ouder ; Snoystraat ; 13 ; Gouda ; 2802 SX ; 06-48288601 ; 0182-288601 ; Reitema@hotmailing.com
6956 ; mw. ; D.R. ; de ; Roukama ; ouder ; Beemdgras ; 23 ; Gouda ; 2804 NT ; 06-48385936 ; 0182-385936 ; Roukama@planeet.nl
6963 ; dhr. ; E.S. ;  ; Sibma ; ouder ; Hugo de Grootstraat ; 33 ; Reeuwijk ; 2811 KX ; 06-48483369 ; 0182-483369 ; Sibma@hetweb.nl
6970 ; mw. ; F.S. ; van de ; Spaanstra ; ouder ; Koningin Wilhelminastraat ; 10 ; Reeuwijk ; 2811 TS ; 06-48580900 ; 0182-580900 ; Spaanstra@xs4you.nl
6977 ; dhr. ; G.S. ;  ; Sytzema ; ouder ; Componistenlaan ; 20 ; Gouda ; 2807 HG ; 06-48678529 ; 0182-678529 ; Sytzema@zoggi.nl
6984 ; mw. ; H.T. ;  ; Torenstra ; ouder ; Rietzoom ; 30 ; Gouda ; 2804 CS ; 06-48776256 ; 0182-776256 ; Torenstra@freeweb.com
6991 ; dhr. ; I.V. ;  ; Vriezema ; ouder ; Burgemeester Martenssingel ; 7 ; Gouda ; 2806 CR ; 06-48874081 ; 0182-874081 ; Vriezema@gmailer.com
6998 ; mw. ; J.W. ;  ; Wijkenga ; ouder ; Wilhelmina van Pruisenlaan ; 17 ; Gouda ; 2807 KD ; 06-48972004 ; 0182-972004 ; Wijkenga@hotmailing.com
7005 ; dhr. ; K.Z. ;  ; Zoutsma ; ouder ; Pelmolenerf ; 27 ; Gouda ; 2807 EX ; 06-49070025 ; 0182-70025 ; Zoutsma@planeet.nl
7012 ; mw. ; L.A. ;  ; Ausema ; ouder ; Hortensialaan ; 4 ; Stolwijk ; 2821 TJ ; 06-49168144 ; 0182-168144 ; Ausema@hetweb.nl
7019 ; dhr. ; M.B. ;  ; Biesta ; ouder ; Fugalaan ; 14 ; Gouda ; 2807 PH ; 06-49266361 ; 0182-266361 ; Biesta@xs4you.nl
7026 ; mw. ; N.B. ;  ; Bottinga ; ouder ; Van Heuven Goedhartsingel ; 24 ; Gouda ; 2806 ZL ; 06-49364676 ; 0182-364676 ; Bottinga@zoggi.nl
7033 ; dhr. ; O.D. ;  ; Datema ; ouder ; Kalmoes ; 1 ; Reeuwijk ; 2811 EB ; 06-49463089 ; 0182-463089 ; Datema@freeweb.com
7040 ; mw. ; P.E. ;  ; Endema ; ouder ; Onder de Boompjes ; 11 ; Gouda ; 2802 AV ; 06-49561600 ; 0182-561600 ; Endema@gmailer.com
7047 ; dhr. ; Q.G. ;  ; Gerringa ; ouder ; De Kempenaerstraat ; 21 ; Gouda ; 2805 SC ; 06-49660209 ; 0182-660209 ; Gerringa@hotmailing.com
7054 ; mw. ; R.H. ;  ; Harstra ; ouder ; Kennedysingel ; 31 ; Reeuwijk ; 2811 VB ; 06-49758916 ; 0182-758916 ; Harstra@planeet.nl
7061 ; dhr. ; S.H. ;  ; Hoekenga ; ouder ; Palenstein ; 8 ; Gouda ; 2804 GA ; 06-49857721 ; 0182-857721 ; Hoekenga@hetweb.nl
7068 ; mw. ; T.I. ; van ; IJpema ; ouder ; Van Staverenstraat ; 18 ; Reeuwijk ; 2811 TR ; 06-49956624 ; 0182-956624 ; IJpema@xs4you.nl
7075 ; dhr. ; U.K. ;  ; Kamstra ; ouder ; Zwanebloem ; 28 ; Reeuwijk ; 2811 RH ; 06-50055625 ; 0182-55625 ; Kamstra@zoggi.nl
7082 ; mw. ; V.K. ;  ; Kroezinga ; ouder ; Verkennerspad ; 5 ; Gouda ; 2807 AA ; 06-50154724 ; 0182-154724 ; Kroezinga@freeweb.com
7089 ; dhr. ; W.M. ;  ; Makkinga ; ouder ; Koningin Wilhelminastraat ; 15 ; Reeuwijk ; 2811 TV ; 06-50253921 ; 0182-253921 ; Makkinga@gmailer.com
7096 ; mw. ; X.O. ; Voogdmans ; voogd ; ouder ; Roelat ; 25 ; Reeuwijk ; 2811 EC ; 06-50353216 ; 0182-353216 ; Oostema@hotmailing.com
7103 ; dhr. ; Y.P. ;  ; Potma ; ouder ; Veenzoom ; 2 ; Gouda ; 2804 CB ; 06-50452609 ; 0182-452609 ; Potma@planeet.nl
7110 ; mw. ; Z.R. ;  ; Rintjema ; ouder ; Burgemeester Martenssingel ; 12 ; Gouda ; 2806 CM ; 06-50552100 ; 0182-552100 ; Rintjema@hetweb.nl
7117 ; dhr. ; A.S. ;  ; Schootstra ; ouder ; Twaalfmorgen ; 22 ; Reeuwijk ; 2811 ND ; 06-50651689 ; 0182-651689 ; Schootstra@xs4you.nl
7124 ; mw. ; B.S. ;  ; Sipsma ; ouder ; Vogelplein ; 32 ; Gouda ; 2802 CK ; 06-50751376 ; 0182-751376 ; Sipsma@zoggi.nl
7131 ; dhr. ; C.S. ;  ; Straatsma ; ouder ; Hoge Gouwe ; 9 ; Gouda ; 2801 LC ; 06-50851161 ; 0182-851161 ; Straatsma@freeweb.com
7138 ; mw. ; D.T. ;  ; Tijsma ; ouder ; Zwenkgras ; 19 ; Gouda ; 2804 NG ; 06-50951044 ; 0182-951044 ; Tijsma@gmailer.com
7145 ; dhr. ; E.V. ;  ; Veltsema ; ouder ; Vreelust ; 29 ; Gouda ; 2804 LH ; 06-51051025 ; 0182-51025 ; Veltsema@hotmailing.com
7152 ; mw. ; F.W. ;  ; Wiebenga ; ouder ; Raam ; 6 ; Gouda ; 2801 VJ ; 06-51151104 ; 0182-151104 ; Wiebenga@planeet.nl
7159 ; dhr. ; G.Y. ;  ; Ytsma ; ouder ; Beekpoldersingel ; 16 ; Gouda ; 2807 KW ; 06-51251281 ; 0182-251281 ; Ytsma@hetweb.nl
7166 ; mw. ; H.A. ;  ; Altinga ; ouder ; Corssenpolderstraat ; 26 ; Gouda ; 2807 LG ; 06-51351556 ; 0182-351556 ; Altinga@xs4you.nl
7173 ; dhr. ; I.B. ;  ; Beima ; ouder ; Jan Luykenstraat ; 3 ; Gouda ; 2806 PD ; 06-51451929 ; 0182-451929 ; Beima@zoggi.nl
7180 ; mw. ; J.B. ;  ; Bonnema ; ouder ; Gouderaksedijk ; 13 ; Gouda ; 2808 ND ; 06-51552400 ; 0182-552400 ; Bonnema@freeweb.com
7187 ; dhr. ; K.B. ;  ; Bulstra ; ouder ; Ronsseweg ; 23 ; Gouda ; 2803 ZH ; 06-51652969 ; 0182-652969 ; Bulstra@gmailer.com
7194 ; mw. ; L.D. ;  ; Dyksma ; ouder ; Blekerssingel ; 33 ; Gouda ; 2806 AA ; 06-51753636 ; 0182-753636 ; Dyksma@hotmailing.com
7201 ; dhr. ; M.F. ;  ; Frankema ; ouder ; Raaigras ; 10 ; Gouda ; 2804 ND ; 06-51854401 ; 0182-854401 ; Frankema@planeet.nl
7208 ; mw. ; N.H. ; van ; Haijma ; ouder ; Zwarteweg ; 20 ; Gouda ; 2805 JH ; 06-51955264 ; 0182-955264 ; Haijma@hetweb.nl
7215 ; dhr. ; O.H. ;  ; Herresma ; ouder ; Lage Gouwe ; 30 ; Gouda ; 2801 LH ; 06-52056225 ; 0182-56225 ; Herresma@xs4you.nl
7222 ; mw. ; P.H. ;  ; Huisinga ; ouder ; Ridder van Catsweg ; 7 ; Gouda ; 2805 BA ; 06-52157284 ; 0182-157284 ; Huisinga@zoggi.nl
7229 ; dhr. ; Q.J. ;  ; Jorritsma ; ouder ; Kuiperstraat ; 17 ; Gouda ; 2801 NS ; 06-52258441 ; 0182-258441 ; Jorritsma@freeweb.com
7236 ; mw. ; R.K. ; de ; Koelma ; ouder ; Driewegplein ; 27 ; Gouda ; 2805 HV ; 06-52359696 ; 0182-359696 ; Koelma@gmailer.com
7243 ; dhr. ; S.L. ;  ; Leysma ; ouder ; Punterwerf ; 4 ; Gouda ; 2804 LP ; 06-52461049 ; 0182-461049 ; Leysma@hotmailing.com
7250 ; mw. ; T.M. ;  ; Musschenga ; ouder ; Lage Gouwe ; 14 ; Gouda ; 2801 LL ; 06-52562500 ; 0182-562500 ; Musschenga@planeet.nl
7257 ; dhr. ; U.P. ;  ; Ploegstra ; ouder ; Zwaluwhof ; 24 ; Stolwijk ; 2821 XJ ; 06-52664049 ; 0182-664049 ; Ploegstra@hetweb.nl
7264 ; mw. ; V.R. ;  ; Riegstra ; ouder ; Lange Willemsteeg ; 1 ; Gouda ; 2801 WC ; 06-52765696 ; 0182-765696 ; Riegstra@xs4you.nl
7271 ; dhr. ; W.S. ;  ; Schaafstra ; ouder ; Keizerstraat ; 11 ; Gouda ; 2801 NL ; 06-52867441 ; 0182-867441 ; Schaafstra@zoggi.nl
7278 ; mw. ; X.S. ;  ; Sietsma ; ouder ; Spieringstraat ; 21 ; Gouda ; 2801 ZK ; 06-52969284 ; 0182-969284 ; Sietsma@freeweb.com
7285 ; dhr. ; Y.S. ;  ; Stedema ; ouder ; Landmeterslag ; 31 ; Gouda ; 2805 HS ; 06-53071225 ; 0182-71225 ; Stedema@gmailer.com
7292 ; mw. ; Z.T. ;  ; Telenga ; ouder ; Ida Hoeve ; 8 ; Gouda ; 2804 JA ; 06-53173264 ; 0182-173264 ; Telenga@hotmailing.com
7299 ; dhr. ; A.U. ;  ; Uildersma ; ouder ; Jacob van Lennepkade ; 18 ; Gouda ; 2802 LG ; 06-53275401 ; 0182-275401 ; Uildersma@planeet.nl
7306 ; mw. ; B.W. ;  ; Wartna ; ouder ; Ida Hoeve ; 28 ; Gouda ; 2804 JC ; 06-53377636 ; 0182-377636 ; Wartna@hetweb.nl
7313 ; dhr. ; C.W. ;  ; Wiringa ; ouder ; Snippedrift ; 5 ; Reeuwijk ; 2811 AK ; 06-53479969 ; 0182-479969 ; Wiringa@xs4you.nl
7320 ; mw. ; D.A. ;  ; Abma ; ouder ; Vossenburchkade ; 15 ; Gouda ; 2805 PD ; 06-53582400 ; 0182-582400 ; Abma@zoggi.nl
7327 ; dhr. ; E.B. ; Voogt ; voogd ; ouder ; Albert Plesmanplein ; 25 ; Gouda ; 2805 AD ; 06-53684929 ; 0182-684929 ; Bansenga@freeweb.com
7334 ; mw. ; F.B. ;  ; Blessinga ; ouder ; Willem de Zwijgersingel ; 2 ; Gouda ; 2805 BV ; 06-53787556 ; 0182-787556 ; Blessinga@gmailer.com
7341 ; dhr. ; G.B. ;  ; Brilstra ; ouder ; Oukoopsedijk ; 12 ; Reeuwijk ; 2811 NG ; 06-53890281 ; 0182-890281 ; Brilstra@hotmailing.com
7348 ; mw. ; H.D. ; van ; Doddema ; ouder ; IJssellaan ; 22 ; Gouda ; 2806 TD ; 06-53993104 ; 0182-993104 ; Doddema@planeet.nl
7355 ; dhr. ; I.F. ;  ; Feersma ; ouder ; Kerklaan ; 32 ; Stolwijk ; 2821 BM ; 06-54096025 ; 0182-96025 ; Feersma@hetweb.nl
7362 ; mw. ; J.G. ;  ; Groenia ; ouder ; John Raedeckersingel ; 9 ; Reeuwijk ; 2811 VK ; 06-54199044 ; 0182-199044 ; Groenia@xs4you.nl
7369 ; dhr. ; K.H. ;  ; Heidsma ; ouder ; Waterlelie ; 19 ; Gouda ; 2804 PT ; 06-54302161 ; 0182-302161 ; Heidsma@zoggi.nl
7376 ; mw. ; L.H. ; de ; Hommenga ; ouder ; Graaf van Bloisstraat ; 29 ; Gouda ; 2805 RL ; 06-54405376 ; 0182-405376 ; Hommenga@freeweb.com
7383 ; dhr. ; M.J. ;  ; Janga ; ouder ; Boelekade ; 6 ; Gouda ; 2806 AN ; 06-54508689 ; 0182-508689 ; Janga@gmailer.com
7390 ; mw. ; N.K. ;  ; Kijlstra ; ouder ; De Visserstraat ; 16 ; Gouda ; 2805 SJ ; 06-54612100 ; 0182-612100 ; Kijlstra@hotmailing.com
7397 ; dhr. ; O.L. ;  ; Landstra ; ouder ; Tollensstraat ; 26 ; Gouda ; 2802 LL ; 06-54715609 ; 0182-715609 ; Landstra@planeet.nl
7404 ; mw. ; P.M. ;  ; Meintema ; ouder ; Bodegraafsestraatweg ; 3 ; Gouda ; 2805 GP ; 06-54819216 ; 0182-819216 ; Meintema@hetweb.nl
7411 ; dhr. ; Q.P. ;  ; Panstra ; ouder ; Marga Klompestraat ; 13 ; Gouda ; 2805 CX ; 06-54922921 ; 0182-922921 ; Panstra@xs4you.nl
7418 ; mw. ; R.R. ;  ; Reijinga ; ouder ; Bilwijkerweg ; 23 ; Stolwijk ; 2821 SG ; 06-55026724 ; 0182-26724 ; Reijinga@zoggi.nl
7425 ; dhr. ; S.R. ;  ; Romkema ; ouder ; Paganinistraat ; 33 ; Gouda ; 2807 SR ; 06-55130625 ; 0182-130625 ; Romkema@freeweb.com
7432 ; mw. ; T.S. ;  ; Sekema ; ouder ; Rentmeesterslag ; 10 ; Gouda ; 2805 EV ; 06-55234624 ; 0182-234624 ; Sekema@gmailer.com
